Aberchirder,"1,260",16,6,97.81,133.48,172.6,228.99
Aberdeen,"214,610",18,10,97.81,133.48,172.6,228.99
Aberdour,"1,710",13,17,81.58,102.56,120.29,174.81
Aberfeldy,"1,950",10,13,82.4,105.94,137.31,183.46
Aberfoyle,830,7,16,83.91,103.56,126.58,181.8
Aberlady,"1,190",15,17,127.33,154.28,192.06,276.92
Aberlour,"1,050",13,7,91.81,110.72,126.92,160.38
Abernethy,"1,460",12,15,82.4,105.94,137.31,183.46
Aboyne,"2,910",15,10,97.81,133.48,172.6,228.99
Airth,"1,940",10,17,83.91,103.56,126.58,181.8
Alford,"2,520",15,9,97.81,133.48,172.6,228.99
Allanton,"1,150",10,18,72,92.05,109.62,142.61
Alloa,"20,730",10,17,83.91,103.56,126.58,181.8
Almondbank,"1,430",12,14,82.4,105.94,137.31,183.46
Alness,"5,800",9,5,91.81,110.72,126.92,160.38
Alva,"4,600",10,16,83.91,103.56,126.58,181.8
Alyth,"2,400",13,13,82.4,105.94,137.31,183.46
Ancrum,500,16,21,72,92.05,109.62,142.61
Annan,"8,780",12,24,80.77,97.81,108.26,129.47
Annbank,920,7,21,80.55,97.81,115.07,158.9
Anstruther and Pittenweem,"5,250",15,16,81.58,102.56,120.29,174.81
Arbroath,"23,940",16,13,79.24,103.85,128.19,189.07
Ardersier,"1,190",9,7,91.81,110.72,126.92,160.38
Ardrishaig,"1,290",2,17,84.23,103.85,120.29,180
Armadale,"12,550",1,10,98.08,121.22,137.87,180.45
Auchenblae,560,16,11,97.81,133.48,172.6,228.99
Auchinleck,"3,730",8,21,80.55,97.81,115.07,158.9
Auchinloch,720,8,18,80.55,99.06,113.92,167.31
Auchterarder,"5,120",10,15,82.4,105.94,137.31,183.46
Auchtermuchty,"2,110",13,15,81.58,102.56,120.29,174.81
Auldearn,640,11,6,91.81,110.72,126.92,160.38
Aviemore,"3,240",10,9,91.81,110.72,126.92,160.38
Avoch,"1,020",9,6,91.81,110.72,126.92,160.38
Avonbridge,660,10,18,83.91,103.56,126.58,181.8
Ayr,"62,580",6,21,80.55,97.81,115.07,158.9
Ayton,600,18,9,72,92.05,109.62,142.61
Balfron,"2,100",8,17,83.91,103.56,126.58,181.8
Balintore,"1,010",10,5,91.81,110.72,126.92,160.38
Ballachulish,640,4,12,91.81,110.72,126.92,160.38
Ballater,"1,460",14,10,97.81,133.48,172.6,228.99
"Ballingry, Lochore and Crosshill","5,740",12,16,81.58,102.56,120.29,174.81
Balmedie,"2,560",18,9,97.81,133.48,172.6,228.99
Balmullo,"1,370",14,15,81.58,102.56,120.29,174.81
Banchory,"7,560",16,10,97.81,133.48,172.6,228.99
Banff,"4,100",16,6,97.81,133.48,172.6,228.99
Bankfoot,"1,220",12,14,82.4,105.94,137.31,183.46
Barrhead,"17,610",7,19,80.55,101.54,125.42,190.8
Bathgate,"28,470",11,18,98.08,121.22,137.87,180.45
Beauly,"1,470",8,7,91.81,110.72,126.92,160.38
Beith,"6,040",6,9,80.55,97.81,115.07,158.9
Bellsbank,"1,270",7,22,80.55,97.81,115.07,158.9
Biggar,"2,420",11,20,80.55,103.56,126.92,185.4
Birkhill and Muirhead,"2,070",14,14,79.24,103.85,128.19,189.07
Bishopton,"5,330",6,18,80.55,101.54,125.42,190.8
Blackburn (Aberdeenshire),"3,050",17,9,97.81,133.48,172.6,228.99
Blackford,840,10,15,82.4,105.94,137.31,183.46
Blackridge,"2,010",10,18,98.08,121.22,137.87,180.45
Blairgowrie,"9,020",12,13,82.4,105.94,137.31,183.46
Blairhall,950,11,17,81.58,102.56,120.29,174.81
Bo'ness,"14,760",11,17,83.91,103.56,126.58,181.8
Boddam,"1,270",19,7,97.81,133.48,172.6,228.99
Bonnybridge,"25,660",10,17,83.91,103.56,126.58,181.8
"Bonnyrigg, Dalkeith and Gorebridge","52,260",13,18,127.33,154.28,192.06,276.92
Bowmore,720,0,18,84.23,103.85,120.29,180
Braco,550,10,15,82.4,105.94,137.31,183.46
Brechin,"7,400",16,12,79.24,103.85,128.19,189.07
